simTime,simDelta,xPos,yPos,zPos,speed,heading,steering,gas,brake,state1,state2,state3,state4,state5,state6,eulerX,eulerY,eulerZ,rpm,gear,leftBlinker,rightBlinker
22.36527,0.016666,-85.79134,104.9347,-0.5030882,27.69612,-0.1664996,9.144,0.3379801,0,10,0,0,0,0,8.1,-0.0643989,-0.2002185,-0.1664996,1216.492,3,1,1
22.38193,0.016666,-85.58501,104.9342,-0.5030662,27.69092,-0.1548451,9.035999,0.3379801,0,10,0,0,0,0,8.1,-0.06554036,-0.201786,-0.1548451,1216.18,3,1,1
22.39859,0.016666,-85.37873,104.9338,-0.5030439,27.6857,-0.1430717,8.856,0.3379801,0,10,0,0,0,0,8.1,-0.06693111,-0.2032891,-0.1430717,1216.104,3,1,1
22.41525,0.016666,-85.17249,104.9334,-0.5030216,27.68052,-0.1311699,8.603999,0.3379801,0,10,0,0,0,0,8.1,-0.06851132,-0.2047069,-0.1311699,1215.574,3,1,1
22.43191,0.016666,-84.96629,104.9331,-0.5029997,27.67529,-0.1191329,8.351999,0.3379801,0,10,0,0,0,0,8.1,-0.0702101,-0.2060248,-0.1191329,1215.807,3,1,1
22.44857,0.016666,-84.76012,104.9328,-0.5029786,27.67007,-0.1069579,8.028,0.3379801,0,10,0,0,0,0,8.1,-0.07195047,-0.2072266,-0.1069579,1215.593,3,1,1
22.46523,0.016666,-84.55399,104.9326,-0.5029585,27.66487,-0.0946466,7.74,0.3379801,0,10,0,0,0,0,8.1,-0.0736501,-0.2082993,-0.0946466,1215.455,3,1,1
22.48189,0.016666,-84.3479,104.9324,-0.5029399,27.65968,-0.08220611,7.416,0.3379801,0,10,0,0,0,0,8.1,-0.07522436,-0.209234,-0.08220611,1214.891,3,1,1
22.49855,0.016666,-84.14185,104.9322,-0.502923,27.65448,-0.06964927,7.128,0.3379801,0,10,0,0,0,0,8.1,-0.07659166,-0.2100221,-0.06964927,1214.655,3,1,1
22.51521,0.016666,-83.93584,104.9321,-0.502908,27.64927,-0.05699482,6.804,0.3379801,0,10,0,0,0,0,8.1,-0.07767606,-0.210659,-0.05699482,1214.404,3,1,1
